path,label,signer
dataset\raw\again\sample_060_matt.npz,again,matt
dataset\raw\again\sample_047_matt.npz,again,matt
dataset\raw\again\sample_038_matt.npz,again,matt
dataset\raw\again\sample_056_matt.npz,again,matt
dataset\raw\again\sample_055_matt.npz,again,matt
dataset\raw\again\sample_053_matt.npz,again,matt
dataset\raw\again\sample_036_matt.npz,again,matt
dataset\raw\again\sample_052_matt.npz,again,matt
dataset\raw\again\sample_057_matt.npz,again,matt
dataset\raw\again\sample_041_matt.npz,again,matt
dataset\raw\again\sample_050_matt.npz,again,matt
dataset\raw\again\sample_051_matt.npz,again,matt
dataset\raw\again\sample_040_matt.npz,again,matt
dataset\raw\again\sample_037_matt.npz,again,matt
dataset\raw\again\sample_049_matt.npz,again,matt
dataset\raw\again\sample_034_matt.npz,again,matt
dataset\raw\again\sample_031_matt.npz,again,matt
dataset\raw\again\sample_046_matt.npz,again,matt
dataset\raw\again\sample_048_matt.npz,again,matt
dataset\raw\again\sample_054_matt.npz,again,matt
dataset\raw\again\sample_012_mike.npz,again,mike
dataset\raw\again\sample_006_mike.npz,again,mike
dataset\raw\again\sample_009_mike.npz,again,mike
dataset\raw\again\sample_002_mike.npz,again,mike
dataset\raw\again\sample_011_mike.npz,again,mike
dataset\raw\again\sample_020_mike.npz,again,mike
dataset\raw\again\sample_025_mike.npz,again,mike
dataset\raw\again\sample_007_mike.npz,again,mike
dataset\raw\again\sample_018_mike.npz,again,mike
dataset\raw\again\sample_023_mike.npz,again,mike
dataset\raw\again\sample_003_mike.npz,again,mike
dataset\raw\again\sample_001_mike.npz,again,mike
dataset\raw\again\sample_021_mike.npz,again,mike
dataset\raw\again\sample_027_mike.npz,again,mike
dataset\raw\again\sample_008_mike.npz,again,mike
dataset\raw\again\sample_005_mike.npz,again,mike
dataset\raw\again\sample_019_mike.npz,again,mike
dataset\raw\again\sample_029_mike.npz,again,mike
dataset\raw\again\sample_024_mike.npz,again,mike
dataset\raw\again\sample_014_mike.npz,again,mike
dataset\raw\again\sample_074_wj.npz,again,wj
dataset\raw\again\sample_063_wj.npz,again,wj
dataset\raw\again\sample_065_wj.npz,again,wj
dataset\raw\again\sample_075_wj.npz,again,wj
dataset\raw\again\sample_087_wj.npz,again,wj
dataset\raw\again\sample_072_wj.npz,again,wj
dataset\raw\again\sample_064_wj.npz,again,wj
dataset\raw\again\sample_086_wj.npz,again,wj
dataset\raw\again\sample_084_wj.npz,again,wj
dataset\raw\again\sample_076_wj.npz,again,wj
dataset\raw\again\sample_089_wj.npz,again,wj
dataset\raw\again\sample_085_wj.npz,again,wj
dataset\raw\again\sample_079_wj.npz,again,wj
dataset\raw\again\sample_061_wj.npz,again,wj
dataset\raw\again\sample_067_wj.npz,again,wj
dataset\raw\again\sample_090_wj.npz,again,wj
dataset\raw\again\sample_081_wj.npz,again,wj
dataset\raw\again\sample_080_wj.npz,again,wj
dataset\raw\again\sample_062_wj.npz,again,wj
dataset\raw\again\sample_088_wj.npz,again,wj
dataset\raw\ball\sample_050_matt.npz,ball,matt
dataset\raw\ball\sample_031_matt.npz,ball,matt
dataset\raw\ball\sample_057_matt.npz,ball,matt
dataset\raw\ball\sample_056_matt.npz,ball,matt
dataset\raw\ball\sample_036_matt.npz,ball,matt
dataset\raw\ball\sample_032_matt.npz,ball,matt
dataset\raw\ball\sample_055_matt.npz,ball,matt
dataset\raw\ball\sample_051_matt.npz,ball,matt
dataset\raw\ball\sample_043_matt.npz,ball,matt
dataset\raw\ball\sample_058_matt.npz,ball,matt
dataset\raw\ball\sample_047_matt.npz,ball,matt
dataset\raw\ball\sample_033_matt.npz,ball,matt
dataset\raw\ball\sample_041_matt.npz,ball,matt
dataset\raw\ball\sample_034_matt.npz,ball,matt
dataset\raw\ball\sample_042_matt.npz,ball,matt
dataset\raw\ball\sample_044_matt.npz,ball,matt
dataset\raw\ball\sample_048_matt.npz,ball,matt
dataset\raw\ball\sample_038_matt.npz,ball,matt
dataset\raw\ball\sample_049_matt.npz,ball,matt
dataset\raw\ball\sample_053_matt.npz,ball,matt
dataset\raw\ball\sample_012_mike.npz,ball,mike
dataset\raw\ball\sample_015_mike.npz,ball,mike
dataset\raw\ball\sample_025_mike.npz,ball,mike
dataset\raw\ball\sample_026_mike.npz,ball,mike
dataset\raw\ball\sample_016_mike.npz,ball,mike
dataset\raw\ball\sample_018_mike.npz,ball,mike
dataset\raw\ball\sample_005_mike.npz,ball,mike
dataset\raw\ball\sample_003_mike.npz,ball,mike
dataset\raw\ball\sample_007_mike.npz,ball,mike
dataset\raw\ball\sample_021_mike.npz,ball,mike
dataset\raw\ball\sample_023_mike.npz,ball,mike
dataset\raw\ball\sample_009_mike.npz,ball,mike
dataset\raw\ball\sample_027_mike.npz,ball,mike
dataset\raw\ball\sample_030_mike.npz,ball,mike
dataset\raw\ball\sample_001_mike.npz,ball,mike
dataset\raw\ball\sample_010_mike.npz,ball,mike
dataset\raw\ball\sample_011_mike.npz,ball,mike
dataset\raw\ball\sample_019_mike.npz,ball,mike
dataset\raw\ball\sample_008_mike.npz,ball,mike
dataset\raw\ball\sample_029_mike.npz,ball,mike
dataset\raw\ball\sample_075_wj.npz,ball,wj
dataset\raw\ball\sample_083_wj.npz,ball,wj
dataset\raw\ball\sample_068_wj.npz,ball,wj
dataset\raw\ball\sample_067_wj.npz,ball,wj
dataset\raw\ball\sample_076_wj.npz,ball,wj
dataset\raw\ball\sample_070_wj.npz,ball,wj
dataset\raw\ball\sample_062_wj.npz,ball,wj
dataset\raw\ball\sample_079_wj.npz,ball,wj
dataset\raw\ball\sample_071_wj.npz,ball,wj
dataset\raw\ball\sample_089_wj.npz,ball,wj
dataset\raw\ball\sample_082_wj.npz,ball,wj
dataset\raw\ball\sample_069_wj.npz,ball,wj
dataset\raw\ball\sample_072_wj.npz,ball,wj
dataset\raw\ball\sample_080_wj.npz,ball,wj
dataset\raw\ball\sample_074_wj.npz,ball,wj
dataset\raw\ball\sample_087_wj.npz,ball,wj
dataset\raw\ball\sample_090_wj.npz,ball,wj
dataset\raw\ball\sample_084_wj.npz,ball,wj
dataset\raw\ball\sample_085_wj.npz,ball,wj
dataset\raw\ball\sample_066_wj.npz,ball,wj
dataset\raw\bathroom\sample_034_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_048_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_059_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_049_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_031_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_060_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_037_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_036_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_056_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_055_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_035_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_038_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_032_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_051_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_039_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_045_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_050_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_047_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_053_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_044_matt.npz,bathroom,matt
dataset\raw\bathroom\sample_020_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_005_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_007_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_011_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_010_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_013_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_004_mike.npz,bathroom,mike
